Cash Five,10,13,1995,26,1,22,23,35
Cash Five,10,17,1995,9,18,30,20,6
Cash Five,10,20,1995,7,27,22,26,16
Cash Five,10,24,1995,8,35,13,22,6
Cash Five,10,27,1995,8,37,13,25,17
Cash Five,10,31,1995,19,37,28,7,14
Cash Five,11,3,1995,27,26,25,32,15
Cash Five,11,7,1995,14,25,28,13,6
Cash Five,11,10,1995,12,17,23,15,7
Cash Five,11,14,1995,23,19,22,14,9
Cash Five,11,17,1995,22,30,17,37,5
Cash Five,11,21,1995,4,14,20,30,29
Cash Five,11,24,1995,32,23,15,6,16
Cash Five,11,28,1995,3,11,20,23,16
Cash Five,12,1,1995,8,6,30,7,28
Cash Five,12,5,1995,2,37,13,25,16
Cash Five,12,8,1995,23,5,9,15,39
Cash Five,12,12,1995,22,13,17,26,29
Cash Five,12,15,1995,26,38,25,32,15
Cash Five,12,19,1995,21,9,6,2,8
Cash Five,12,22,1995,6,36,7,11,12
Cash Five,12,26,1995,9,5,19,15,13
Cash Five,12,29,1995,18,8,32,3,1
Cash Five,1,2,1996,32,9,21,1,23
Cash Five,1,5,1996,6,14,12,39,1
Cash Five,1,9,1996,23,10,6,21,30
Cash Five,1,12,1996,38,29,36,32,18
Cash Five,1,16,1996,25,32,30,33,20
Cash Five,1,19,1996,10,7,5,34,11
Cash Five,1,23,1996,15,25,8,34,39
Cash Five,1,26,1996,38,6,1,26,31
Cash Five,1,30,1996,29,18,6,15,24
Cash Five,2,2,1996,9,29,12,1,18
Cash Five,2,6,1996,3,31,24,35,29
Cash Five,2,9,1996,24,11,2,1,32
Cash Five,2,13,1996,31,25,12,26,27
Cash Five,2,16,1996,8,18,21,5,35
Cash Five,2,20,1996,10,27,7,20,14
Cash Five,2,23,1996,33,24,23,20,21
Cash Five,2,27,1996,5,19,35,32,8
Cash Five,3,1,1996,15,21,34,33,1
Cash Five,3,5,1996,36,35,26,2,17
Cash Five,3,8,1996,30,11,24,13,21
Cash Five,3,12,1996,8,18,32,31,3
Cash Five,3,15,1996,10,27,35,22,2
